,time,application,angry,disgust,fear,happy,sad,surprise
163,2022_11_19_15_57_25,Code,0.43,0.0,0.28,0.0,0.14,0.14
164,2022_11_19_15_57_26,Code,0.25,0.0,0.25,0.0,0.5,0.0
165,2022_11_19_15_57_26,Code,0.45,0.0,0.05,0.14,0.27,0.09
166,2022_11_19_15_57_26,Code,0.65,0.0,0.12,0.04,0.15,0.04
167,2022_11_19_15_57_27,Code,0.67,0.0,0.12,0.03,0.15,0.03
168,2022_11_19_15_57_27,Code,0.68,0.0,0.12,0.04,0.12,0.04
169,2022_11_19_15_57_27,Code,0.65,0.0,0.1,0.03,0.19,0.03
170,2022_11_19_15_57_27,Code,0.77,0.0,0.13,0.0,0.08,0.03
171,2022_11_19_15_57_28,Code,0.11,0.0,0.11,0.04,0.18,0.56
172,2022_11_19_15_57_28,Code,0.28,0.0,0.1,0.33,0.1,0.19
173,2022_11_19_15_57_28,Code,0.24,0.0,0.06,0.06,0.59,0.06
174,2022_11_19_15_57_28,Code,0.26,0.0,0.05,0.05,0.63,0.0
175,2022_11_19_15_57_29,Code,0.22,0.0,0.0,0.56,0.22,0.0
176,2022_11_19_15_57_29,Code,0.19,0.0,0.04,0.15,0.62,0.0
177,2022_11_19_15_57_29,Code,0.06,0.0,0.06,0.0,0.88,0.0
178,2022_11_19_15_57_29,Code,0.09,0.0,0.17,0.0,0.74,0.0
179,2022_11_19_15_57_30,Code,0.14,0.0,0.31,0.03,0.49,0.03
180,2022_11_19_15_57_30,Code,0.21,0.0,0.21,0.05,0.53,0.0
181,2022_11_19_15_57_30,Code,0.06,0.0,0.31,0.0,0.56,0.06
182,2022_11_19_15_57_31,Code,0.54,0.0,0.04,0.13,0.28,0.0
183,2022_11_19_15_57_31,Code,0.15,0.0,0.19,0.07,0.48,0.11
184,2022_11_19_15_57_31,Code,0.01,0.0,0.02,0.75,0.21,0.01
185,2022_11_19_15_57_32,Code,0.75,0.0,0.06,0.0,0.18,0.01
186,2022_11_19_15_57_33,Code,0.68,0.0,0.05,0.0,0.18,0.09
187,2022_11_19_15_57_33,Code,0.65,0.0,0.05,0.01,0.18,0.1
188,2022_11_19_15_57_33,Code,0.38,0.0,0.09,0.02,0.24,0.27
189,2022_11_19_15_57_33,Code,0.11,0.0,0.14,0.0,0.54,0.21
190,2022_11_19_15_57_34,Code,0.13,0.0,0.33,0.01,0.17,0.35
191,2022_11_19_15_57_34,Code,0.02,0.0,0.56,0.0,0.24,0.18
192,2022_11_19_15_57_35,Code,0.05,0.0,0.21,0.0,0.54,0.21
193,2022_11_19_15_57_35,Code,0.03,0.0,0.17,0.0,0.72,0.08
194,2022_11_19_15_57_35,Code,0.1,0.0,0.56,0.01,0.09,0.24
195,2022_11_19_15_57_35,Code,0.03,0.0,0.28,0.02,0.26,0.4
196,2022_11_19_15_57_36,Code,0.03,0.0,0.17,0.03,0.66,0.1
197,2022_11_19_15_57_37,Code,0.05,0.0,0.11,0.11,0.74,0.0
198,2022_11_19_15_57_38,Code,0.0,0.0,0.12,0.19,0.19,0.5
199,2022_11_19_15_57_38,Code,0.06,0.0,0.11,0.06,0.56,0.22
200,2022_11_19_15_57_38,Code,0.48,0.0,0.04,0.22,0.26,0.0
201,2022_11_19_15_57_38,Code,0.35,0.0,0.07,0.2,0.37,0.0
202,2022_11_19_15_57_39,Code,0.25,0.0,0.05,0.22,0.48,0.0
203,2022_11_19_15_57_40,Code,0.54,0.0,0.08,0.09,0.28,0.0
204,2022_11_19_15_57_40,Code,0.3,0.0,0.06,0.05,0.57,0.0
205,2022_11_19_15_57_40,Code,0.32,0.0,0.06,0.04,0.56,0.0
206,2022_11_19_15_57_41,Code,0.39,0.0,0.06,0.35,0.2,0.0
207,2022_11_19_15_57_44,Code,0.09,0.0,0.15,0.3,0.43,0.03
208,2022_11_19_15_57_44,Code,0.16,0.0,0.32,0.02,0.34,0.16
209,2022_11_19_15_57_44,Code,0.0,0.0,0.11,0.0,0.8,0.09
210,2022_11_19_15_57_44,Code,0.04,0.0,0.12,0.0,0.5,0.33
211,2022_11_19_15_57_45,Code,0.02,0.0,0.13,0.02,0.11,0.72
212,2022_11_19_15_57_45,Terminal,0.07,0.0,0.12,0.05,0.12,0.62
213,2022_11_19_15_57_45,Terminal,0.19,0.0,0.08,0.0,0.73,0.0
214,2022_11_19_15_57_46,Microsoft Edge,0.12,0.0,0.15,0.0,0.7,0.02
215,2022_11_19_15_57_46,Microsoft Edge,0.08,0.0,0.15,0.31,0.27,0.19
216,2022_11_19_15_57_46,Microsoft Edge,0.08,0.0,0.08,0.33,0.42,0.08
217,2022_11_19_15_57_47,Microsoft Edge,0.07,0.0,0.07,0.3,0.3,0.27
218,2022_11_19_15_57_47,Microsoft Edge,0.12,0.0,0.18,0.18,0.41,0.12
219,2022_11_19_15_57_47,Microsoft Edge,0.07,0.01,0.34,0.01,0.51,0.05
220,2022_11_19_15_57_47,Microsoft Edge,0.04,0.0,0.17,0.07,0.67,0.04
221,2022_11_19_15_57_48,Microsoft Edge,0.09,0.0,0.15,0.21,0.36,0.18
222,2022_11_19_15_57_48,Microsoft Edge,0.05,0.0,0.08,0.43,0.14,0.3
223,2022_11_19_15_57_48,Microsoft Edge,0.04,0.0,0.08,0.25,0.33,0.28
224,2022_11_19_15_57_49,Microsoft Edge,0.09,0.0,0.09,0.26,0.17,0.39
225,2022_11_19_15_57_49,Microsoft Edge,0.03,0.0,0.07,0.47,0.07,0.37
226,2022_11_19_15_57_49,Microsoft Edge,0.06,0.0,0.17,0.06,0.33,0.39
227,2022_11_19_15_57_49,Microsoft Edge,0.11,0.0,0.33,0.0,0.33,0.22
228,2022_11_19_15_57_50,Microsoft Edge,0.08,0.0,0.08,0.08,0.5,0.25
229,2022_11_19_15_57_50,Microsoft Edge,0.12,0.0,0.25,0.06,0.31,0.25
230,2022_11_19_15_57_50,Microsoft Edge,0.14,0.0,0.14,0.05,0.48,0.19
231,2022_11_19_15_57_50,Microsoft Edge,0.12,0.0,0.12,0.06,0.56,0.12
232,2022_11_19_15_57_51,Microsoft Edge,0.1,0.0,0.14,0.05,0.67,0.05
233,2022_11_19_15_57_51,Microsoft Edge,0.05,0.0,0.11,0.05,0.74,0.05
234,2022_11_19_15_57_51,Microsoft Edge,0.04,0.0,0.08,0.04,0.79,0.04
235,2022_11_19_15_57_52,Microsoft Edge,0.05,0.0,0.1,0.05,0.65,0.15
236,2022_11_19_15_57_52,Microsoft Edge,0.12,0.0,0.04,0.44,0.12,0.28
237,2022_11_19_15_57_52,Microsoft Edge,0.09,0.0,0.09,0.09,0.55,0.18
238,2022_11_19_15_57_52,Microsoft Edge,0.19,0.0,0.12,0.06,0.56,0.06
239,2022_11_19_15_57_53,Microsoft Edge,0.14,0.0,0.21,0.07,0.56,0.0
240,2022_11_19_15_57_53,Microsoft Edge,0.12,0.0,0.2,0.16,0.52,0.0
241,2022_11_19_15_57_53,Microsoft Edge,0.05,0.0,0.24,0.14,0.56,0.0
242,2022_11_19_15_57_54,Microsoft Edge,0.1,0.0,0.24,0.15,0.41,0.1
243,2022_11_19_15_57_54,Microsoft Edge,0.08,0.0,0.11,0.03,0.75,0.02
244,2022_11_19_15_57_54,Microsoft Edge,0.05,0.0,0.18,0.05,0.66,0.05
245,2022_11_19_15_57_55,Microsoft Edge,0.02,0.0,0.18,0.0,0.8,0.0
246,2022_11_19_15_57_55,Microsoft Edge,0.02,0.0,0.14,0.0,0.84,0.0
247,2022_11_19_15_57_55,Microsoft Edge,0.02,0.0,0.19,0.02,0.76,0.02
248,2022_11_19_15_57_55,Microsoft Edge,0.02,0.0,0.17,0.02,0.77,0.02
249,2022_11_19_15_57_56,Microsoft Edge,0.1,0.0,0.28,0.06,0.5,0.04
