2022-11-19 12:28:53,232 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:53] "POST /isangry HTTP/1.1" 200 -
2022-11-19 12:28:53,732 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:53] "POST /takeimage HTTP/1.1" 200 -
2022-11-19 12:28:53,734 | server.py->isAngry():27 | WARNING | CHECKING IF ANGRY
2022-11-19 12:28:53,735 | main.py->isAngry():46 | WARNING | False
2022-11-19 12:28:53,735 | server.py->isAngry():29 | WARNING | 0
2022-11-19 12:28:53,736 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:53] "POST /isangry HTTP/1.1" 200 -
2022-11-19 12:28:54,242 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:54] "POST /takeimage HTTP/1.1" 200 -
2022-11-19 12:28:54,244 | server.py->isAngry():27 | WARNING | CHECKING IF ANGRY
2022-11-19 12:28:54,245 | main.py->isAngry():46 | WARNING | False
2022-11-19 12:28:54,246 | server.py->isAngry():29 | WARNING | 0
2022-11-19 12:28:54,246 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:54] "POST /isangry HTTP/1.1" 200 -
2022-11-19 12:28:54,746 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:54] "POST /takeimage HTTP/1.1" 200 -
2022-11-19 12:28:54,747 | server.py->isAngry():27 | WARNING | CHECKING IF ANGRY
2022-11-19 12:28:54,748 | main.py->isAngry():46 | WARNING | False
2022-11-19 12:28:54,749 | server.py->isAngry():29 | WARNING | 0
2022-11-19 12:28:54,750 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:54] "POST /isangry HTTP/1.1" 200 -
2022-11-19 12:28:55,254 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:55] "POST /takeimage HTTP/1.1" 200 -
2022-11-19 12:28:55,255 | server.py->isAngry():27 | WARNING | CHECKING IF ANGRY
2022-11-19 12:28:55,256 | main.py->isAngry():46 | WARNING | False
2022-11-19 12:28:55,257 | server.py->isAngry():29 | WARNING | 0
2022-11-19 12:28:55,257 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:55] "POST /isangry HTTP/1.1" 200 -
2022-11-19 12:28:55,758 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:55] "POST /takeimage HTTP/1.1" 200 -
2022-11-19 12:28:55,760 | server.py->isAngry():27 | WARNING | CHECKING IF ANGRY
2022-11-19 12:28:55,761 | main.py->isAngry():46 | WARNING | False
2022-11-19 12:28:55,762 | server.py->isAngry():29 | WARNING | 0
2022-11-19 12:28:55,762 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:55] "POST /isangry HTTP/1.1" 200 -
2022-11-19 12:28:56,261 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:56] "POST /takeimage HTTP/1.1" 200 -
2022-11-19 12:28:56,263 | server.py->isAngry():27 | WARNING | CHECKING IF ANGRY
2022-11-19 12:28:56,264 | main.py->isAngry():46 | WARNING | False
2022-11-19 12:28:56,265 | server.py->isAngry():29 | WARNING | 0
2022-11-19 12:28:56,266 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [19/Nov/2022 12:28:56] "POST /isangry HTTP/1.1" 200 -
