,time,application,angry,disgust,fear,happy,sad,surprise
718,2022_07_24_17_58_55,Electron,0.47,0.0,0.17,0.03,0.11,0.22
719,2022_07_24_17_58_55,Electron,0.25,0.0,0.2,0.02,0.09,0.44
720,2022_07_24_17_58_55,Electron,0.26,0.0,0.26,0.0,0.32,0.16
721,2022_07_24_17_58_56,Electron,0.22,0.0,0.22,0.0,0.44,0.11
722,2022_07_24_17_58_56,Electron,0.27,0.0,0.27,0.0,0.35,0.12
723,2022_07_24_17_58_56,Electron,0.28,0.0,0.43,0.05,0.14,0.1
724,2022_07_24_17_58_57,Terminal,0.11,0.0,0.44,0.0,0.44,0.0
725,2022_07_24_17_58_57,Terminal,0.33,0.0,0.39,0.0,0.22,0.06
726,2022_07_24_17_58_58,Terminal,0.27,0.0,0.23,0.05,0.18,0.27
727,2022_07_24_17_58_58,Terminal,0.24,0.0,0.24,0.04,0.2,0.28
728,2022_07_24_17_58_58,Terminal,0.17,0.0,0.37,0.0,0.37,0.1
729,2022_07_24_17_58_58,Terminal,0.33,0.0,0.22,0.0,0.33,0.11
730,2022_07_24_17_58_59,Terminal,0.33,0.0,0.2,0.03,0.27,0.17
731,2022_07_24_17_58_59,Terminal,0.36,0.0,0.23,0.03,0.23,0.15
732,2022_07_24_17_58_59,Stocks,0.37,0.02,0.19,0.02,0.2,0.2
733,2022_07_24_17_59_00,Stocks,0.82,0.04,0.03,0.0,0.1,0.01
734,2022_07_24_17_59_00,Stocks,0.92,0.07,0.0,0.0,0.01,0.0
735,2022_07_24_17_59_01,Stocks,0.92,0.07,0.0,0.0,0.01,0.0
736,2022_07_24_17_59_01,Stocks,0.76,0.23,0.0,0.0,0.01,0.0
737,2022_07_24_17_59_01,Stocks,0.75,0.25,0.0,0.0,0.0,0.0
738,2022_07_24_17_59_02,Stocks,0.54,0.45,0.0,0.0,0.01,0.0
739,2022_07_24_17_59_02,Stocks,0.39,0.61,0.0,0.0,0.0,0.0
740,2022_07_24_17_59_02,Stocks,0.54,0.45,0.0,0.0,0.01,0.0
741,2022_07_24_17_59_03,Stocks,0.65,0.33,0.01,0.0,0.01,0.0
742,2022_07_24_17_59_03,Stocks,0.87,0.13,0.0,0.0,0.0,0.0
743,2022_07_24_17_59_03,Stocks,0.82,0.17,0.0,0.0,0.01,0.0
744,2022_07_24_17_59_03,Stocks,0.25,0.69,0.03,0.0,0.02,0.01
745,2022_07_24_17_59_04,Stocks,0.09,0.0,0.22,0.04,0.07,0.59
746,2022_07_24_17_59_04,Stocks,0.06,0.0,0.3,0.01,0.13,0.5
747,2022_07_24_17_59_04,Stocks,0.25,0.0,0.25,0.0,0.33,0.16
748,2022_07_24_17_59_05,Stocks,0.39,0.0,0.22,0.0,0.35,0.04
749,2022_07_24_17_59_05,Stocks,0.31,0.0,0.08,0.0,0.62,0.0
750,2022_07_24_17_59_07,Stocks,0.39,0.0,0.2,0.13,0.27,0.01
751,2022_07_24_17_59_07,Stocks,0.06,0.0,0.53,0.01,0.25,0.15
752,2022_07_24_17_59_08,Stocks,0.06,0.0,0.02,0.82,0.09,0.01
753,2022_07_24_17_59_08,Stocks,0.05,0.0,0.04,0.8,0.1,0.01
754,2022_07_24_17_59_08,Stocks,0.11,0.0,0.03,0.77,0.08,0.01
755,2022_07_24_17_59_09,Stocks,0.04,0.0,0.02,0.84,0.09,0.01
756,2022_07_24_17_59_09,Stocks,0.26,0.0,0.17,0.33,0.21,0.03
757,2022_07_24_17_59_09,Stocks,0.06,0.0,0.04,0.69,0.21,0.0
758,2022_07_24_17_59_10,Stocks,0.21,0.0,0.07,0.63,0.09,0.0
759,2022_07_24_17_59_10,Stocks,0.47,0.0,0.13,0.28,0.11,0.0
760,2022_07_24_17_59_10,Stocks,0.09,0.0,0.04,0.55,0.28,0.02
761,2022_07_24_17_59_11,Stocks,0.28,0.0,0.26,0.11,0.34,0.0
762,2022_07_24_17_59_11,Stocks,0.28,0.0,0.16,0.19,0.36,0.01
763,2022_07_24_17_59_11,Stocks,0.25,0.0,0.25,0.25,0.25,0.0
764,2022_07_24_17_59_12,Stocks,0.12,0.0,0.38,0.12,0.38,0.0
765,2022_07_24_17_59_12,Stocks,0.38,0.0,0.25,0.0,0.38,0.0
766,2022_07_24_17_59_12,Stocks,0.24,0.0,0.36,0.0,0.36,0.04
767,2022_07_24_17_59_13,Stocks,0.22,0.0,0.3,0.0,0.43,0.04
768,2022_07_24_17_59_13,Stocks,0.13,0.0,0.28,0.0,0.59,0.0
769,2022_07_24_17_59_13,Stocks,0.28,0.0,0.28,0.0,0.38,0.05
770,2022_07_24_17_59_14,Stocks,0.52,0.07,0.12,0.0,0.21,0.07
771,2022_07_24_17_59_14,Stocks,0.48,0.08,0.15,0.0,0.23,0.06
772,2022_07_24_17_59_14,Stocks,0.41,0.02,0.2,0.0,0.34,0.02
773,2022_07_24_17_59_15,Stocks,0.3,0.01,0.25,0.0,0.44,0.0
774,2022_07_24_17_59_15,Stocks,0.32,0.04,0.05,0.0,0.59,0.0
775,2022_07_24_17_59_15,Stocks,0.73,0.02,0.04,0.0,0.21,0.0
776,2022_07_24_17_59_15,Stocks,0.44,0.15,0.12,0.0,0.28,0.0
777,2022_07_24_17_59_16,Stocks,0.45,0.04,0.28,0.0,0.22,0.0
778,2022_07_24_17_59_16,Stocks,0.6,0.0,0.05,0.0,0.34,0.01
779,2022_07_24_17_59_16,Stocks,0.6,0.01,0.08,0.0,0.31,0.0
780,2022_07_24_17_59_17,Stocks,0.77,0.03,0.06,0.0,0.14,0.0
781,2022_07_24_17_59_17,Stocks,0.76,0.07,0.04,0.0,0.13,0.0
782,2022_07_24_17_59_17,Stocks,0.77,0.2,0.0,0.0,0.03,0.0
783,2022_07_24_17_59_18,Stocks,0.86,0.13,0.0,0.0,0.01,0.0
784,2022_07_24_17_59_18,Stocks,0.77,0.22,0.0,0.0,0.01,0.0
785,2022_07_24_17_59_19,Stocks,0.67,0.32,0.0,0.0,0.01,0.0
